date,district,block,rainfall_mm,river_level_m,flood_incidents,population_exposed,road_access_score,dry_ration_kits_needed
2022-02-05,Puri,Astaranga,3.7,2.67,0,74000,0.61,50
2022-02-06,Puri,Astaranga,0.6,2.39,0,74000,0.61,50
2022-02-07,Puri,Astaranga,0.7,2.46,0,74000,0.61,50
2022-02-08,Puri,Astaranga,7.6,2.93,0,74000,0.61,54
2022-02-09,Puri,Astaranga,2.5,2.61,0,74000,0.61,50
2022-02-10,Puri,Astaranga,8.6,2.89,0,74000,0.61,50
2022-02-11,Puri,Astaranga,2.0,2.55,0,74000,0.61,50
2022-02-12,Puri,Astaranga,3.7,2.47,0,74000,0.61,50
2022-02-13,Puri,Astaranga,0.9,2.88,0,74000,0.61,50
2022-02-14,Puri,Astaranga,3.3,2.72,0,74000,0.61,50
2022-02-15,Puri,Astaranga,3.4,2.75,0,74000,0.61,50
2022-02-16,Puri,Astaranga,1.3,2.58,0,74000,0.61,50
2022-02-17,Puri,Astaranga,2.4,2.17,0,74000,0.61,50
2022-02-18,Puri,Astaranga,1.3,2.79,0,74000,0.61,50
2022-02-19,Puri,Astaranga,1.7,2.41,0,74000,0.61,50
2022-02-20,Puri,Astaranga,5.0,2.47,0,74000,0.61,50
2022-02-21,Puri,Astaranga,3.8,2.67,0,74000,0.61,50
2022-02-22,Puri,Astaranga,7.8,2.48,0,74000,0.61,50
2022-02-23,Puri,Astaranga,0.3,2.12,0,74000,0.61,50
2022-02-24,Puri,Astaranga,2.7,2.4,0,74000,0.61,53
2022-02-25,Puri,Astaranga,1.3,2.2,0,74000,0.61,50
2022-02-26,Puri,Astaranga,7.4,2.62,0,74000,0.61,50
2022-02-27,Puri,Astaranga,1.5,2.77,0,74000,0.61,50
2022-02-28,Puri,Astaranga,2.4,2.6,0,74000,0.61,50
2022-03-01,Puri,Astaranga,4.8,2.58,0,74000,0.61,50
2022-03-02,Puri,Astaranga,0.3,2.43,0,74000,0.61,50
2022-03-03,Puri,Astaranga,0.7,2.51,0,74000,0.61,50
2022-03-04,Puri,Astaranga,3.8,2.39,0,74000,0.61,50
2022-03-05,Puri,Astaranga,3.6,2.58,0,74000,0.61,50
2022-03-06,Puri,Astaranga,2.4,2.42,0,74000,0.61,50
2022-03-07,Puri,Astaranga,2.5,2.68,0,74000,0.61,50
2022-03-08,Puri,Astaranga,4.0,2.4,0,74000,0.61,50
2022-03-09,Puri,Astaranga,0.7,2.64,0,74000,0.61,50
2022-03-10,Puri,Astaranga,5.4,2.92,0,74000,0.61,50
2022-03-11,Puri,Astaranga,0.6,2.51,0,74000,0.61,50
2022-03-12,Puri,Astaranga,6.2,2.5,0,74000,0.61,50
2022-03-13,Puri,Astaranga,7.6,2.46,0,74000,0.61,50
2022-03-14,Puri,Astaranga,1.4,2.62,0,74000,0.61,50
2022-03-15,Puri,Astaranga,0.1,2.32,0,74000,0.61,50
2022-03-16,Puri,Astaranga,4.1,2.34,0,74000,0.61,50
2022-03-17,Puri,Astaranga,4.8,2.64,0,74000,0.61,50
2022-03-18,Puri,Astaranga,3.3,2.5,0,74000,0.61,50
2022-03-19,Puri,Astaranga,1.5,2.29,0,74000,0.61,50
2022-03-20,Puri,Astaranga,9.0,2.55,0,74000,0.61,50
2022-03-21,Puri,Astaranga,2.7,2.68,0,74000,0.61,50
2022-03-22,Puri,Astaranga,1.3,2.48,0,74000,0.61,50
2022-03-23,Puri,Astaranga,8.3,2.58,0,74000,0.61,50
2022-03-24,Puri,Astaranga,4.2,2.39,0,74000,0.61,50
2022-03-25,Puri,Astaranga,0.5,2.32,0,74000,0.61,50
2022-03-26,Puri,Astaranga,1.4,2.96,0,74000,0.61,50
2022-03-27,Puri,Astaranga,0.8,2.59,0,74000,0.61,50
2022-03-28,Puri,Astaranga,6.0,2.81,0,74000,0.61,50
2022-03-29,Puri,Astaranga,2.5,2.73,0,74000,0.61,50
2022-03-30,Puri,Astaranga,3.8,2.44,0,74000,0.61,50
2022-03-31,Puri,Astaranga,0.8,2.44,0,74000,0.61,50
2022-04-01,Puri,Astaranga,2.6,2.72,0,74000,0.61,50
2022-04-02,Puri,Astaranga,1.1,2.66,0,74000,0.61,50
2022-04-03,Puri,Astaranga,4.1,2.42,0,74000,0.61,50
2022-04-04,Puri,Astaranga,4.5,2.62,0,74000,0.61,50
2022-04-05,Puri,Astaranga,1.3,2.8,0,74000,0.61,50
2022-04-06,Puri,Astaranga,179.2,5.86,3,74000,0.61,538
2022-04-07,Puri,Astaranga,5.3,2.35,0,74000,0.61,50
2022-04-08,Puri,Astaranga,1.0,2.46,0,74000,0.61,50
2022-04-09,Puri,Astaranga,7.1,2.54,0,74000,0.61,50
2022-04-10,Puri,Astaranga,4.1,2.72,0,74000,0.61,50
2022-04-11,Puri,Astaranga,9.7,2.57,0,74000,0.61,50
2022-04-12,Puri,Astaranga,0.3,2.56,0,74000,0.61,50
2022-04-13,Puri,Astaranga,8.0,2.8,0,74000,0.61,50
2022-04-14,Puri,Astaranga,1.0,2.67,0,74000,0.61,50
2022-04-15,Puri,Astaranga,11.6,2.93,0,74000,0.61,51
2022-04-16,Puri,Astaranga,3.2,2.82,0,74000,0.61,50
2022-04-17,Puri,Astaranga,4.1,2.54,0,74000,0.61,50
2022-04-18,Puri,Astaranga,6.6,2.99,0,74000,0.61,50
2022-04-19,Puri,Astaranga,1.6,2.8,0,74000,0.61,50
2022-04-20,Puri,Astaranga,12.9,2.79,0,74000,0.61,50
2022-04-21,Puri,Astaranga,4.8,2.84,0,74000,0.61,50
2022-04-22,Puri,Astaranga,2.4,2.75,0,74000,0.61,50
2022-04-23,Puri,Astaranga,10.1,2.48,0,74000,0.61,52
2022-04-24,Puri,Astaranga,2.1,2.52,0,74000,0.61,50
2022-04-25,Puri,Astaranga,1.9,2.75,0,74000,0.61,50
2022-04-26,Puri,Astaranga,1.5,2.51,0,74000,0.61,50
2022-04-27,Puri,Astaranga,0.6,2.63,0,74000,0.61,50
2022-04-28,Puri,Astaranga,2.6,2.58,0,74000,0.61,50
2022-04-29,Puri,Astaranga,4.1,2.95,0,74000,0.61,50
2022-04-30,Puri,Astaranga,9.1,2.97,0,74000,0.61,50
2022-05-01,Puri,Astaranga,0.4,2.28,0,74000,0.61,50
2022-05-02,Puri,Astaranga,6.0,2.72,0,74000,0.61,50
2022-05-03,Puri,Astaranga,2.8,2.8,0,74000,0.61,50
2022-05-04,Puri,Astaranga,2.7,2.31,0,74000,0.61,50
2022-05-05,Puri,Astaranga,1.4,2.53,0,74000,0.61,50
2022-05-06,Puri,Astaranga,3.4,2.33,0,74000,0.61,50
2022-05-07,Puri,Astaranga,2.8,2.62,0,74000,0.61,50
2022-05-08,Puri,Astaranga,2.7,2.58,0,74000,0.61,50
2022-05-09,Puri,Astaranga,1.5,2.76,0,74000,0.61,50
2022-05-10,Puri,Astaranga,0.1,2.56,0,74000,0.61,50
2022-05-11,Puri,Astaranga,10.1,2.88,0,74000,0.61,50
2022-05-12,Puri,Astaranga,3.9,2.3,0,74000,0.61,50
2022-05-13,Puri,Astaranga,5.9,2.64,0,74000,0.61,50
2022-05-14,Puri,Astaranga,1.2,2.53,0,74000,0.61,50
2022-05-15,Puri,Astaranga,0.4,2.4,0,74000,0.61,50
2022-05-16,Puri,Astaranga,3.6,2.69,0,74000,0.61,50
2022-05-17,Puri,Astaranga,4.3,2.67,0,74000,0.61,50
2022-05-18,Puri,Astaranga,3.6,2.74,0,74000,0.61,50
2022-05-19,Puri,Astaranga,2.2,3.04,0,74000,0.61,50
2022-05-20,Puri,Astaranga,1.4,2.76,0,74000,0.61,50
2022-05-21,Puri,Astaranga,2.5,2.52,0,74000,0.61,50
2022-05-22,Puri,Astaranga,9.9,2.72,0,74000,0.61,50
2022-05-23,Puri,Astaranga,1.4,2.46,0,74000,0.61,50
2022-05-24,Puri,Astaranga,1.9,2.78,0,74000,0.61,50
2022-05-25,Puri,Astaranga,17.7,3.05,0,74000,0.61,71
2022-05-26,Puri,Astaranga,6.5,2.79,0,74000,0.61,50
2022-05-27,Puri,Astaranga,7.9,2.62,0,74000,0.61,54
2022-05-28,Puri,Astaranga,6.6,2.69,0,74000,0.61,50
2022-05-29,Puri,Astaranga,0.3,2.6,0,74000,0.61,50
2022-05-30,Puri,Astaranga,4.3,2.47,0,74000,0.61,50
2022-05-31,Puri,Astaranga,0.3,2.79,0,74000,0.61,50
2022-06-01,Puri,Astaranga,16.4,2.82,0,74000,0.61,50
2022-06-02,Puri,Astaranga,53.5,3.7,0,74000,0.61,90
2022-06-03,Puri,Astaranga,45.0,3.32,0,74000,0.61,98
2022-06-04,Puri,Astaranga,6.9,2.41,0,74000,0.61,50
2022-06-05,Puri,Astaranga,28.3,2.85,0,74000,0.61,50
2022-06-06,Puri,Astaranga,86.2,4.1,1,74000,0.61,186
2022-06-07,Puri,Astaranga,63.2,3.82,0,74000,0.61,102
2022-06-08,Puri,Astaranga,11.4,2.47,0,74000,0.61,50
2022-06-09,Puri,Astaranga,1.4,2.26,0,74000,0.61,50
2022-06-10,Puri,Astaranga,51.5,3.78,0,74000,0.61,85
2022-06-11,Puri,Astaranga,10.9,2.75,0,74000,0.61,51
2022-06-12,Puri,Astaranga,18.5,2.86,0,74000,0.61,50
2022-06-13,Puri,Astaranga,15.3,2.7,0,74000,0.61,50
2022-06-14,Puri,Astaranga,16.9,2.72,0,74000,0.61,50
2022-06-15,Puri,Astaranga,37.5,3.16,0,74000,0.61,65
2022-06-16,Puri,Astaranga,14.5,2.61,0,74000,0.61,50
2022-06-17,Puri,Astaranga,9.6,2.81,0,74000,0.61,50
2022-06-18,Puri,Astaranga,48.5,3.44,0,74000,0.61,68
2022-06-19,Puri,Astaranga,15.0,2.87,0,74000,0.61,50
2022-06-20,Puri,Astaranga,47.9,3.61,0,74000,0.61,83
2022-06-21,Puri,Astaranga,64.5,3.57,0,74000,0.61,102
2022-06-22,Puri,Astaranga,27.1,3.43,0,74000,0.61,76
2022-06-23,Puri,Astaranga,18.9,3.04,0,74000,0.61,50
2022-06-24,Puri,Astaranga,35.8,3.02,0,74000,0.61,86
2022-06-25,Puri,Astaranga,18.1,2.95,0,74000,0.61,50
2022-06-26,Puri,Astaranga,31.1,3.14,0,74000,0.61,82
2022-06-27,Puri,Astaranga,27.8,2.97,0,74000,0.61,60
2022-06-28,Puri,Astaranga,35.2,3.0,0,74000,0.61,66
2022-06-29,Puri,Astaranga,69.0,3.67,0,74000,0.61,108
2022-06-30,Puri,Astaranga,24.6,3.05,0,74000,0.61,63
2022-07-01,Puri,Astaranga,10.1,3.18,0,74000,0.61,53
2022-07-02,Puri,Astaranga,30.0,3.38,0,74000,0.61,52
2022-07-03,Puri,Astaranga,64.6,4.11,0,74000,0.61,105
2022-07-04,Puri,Astaranga,28.4,3.49,0,74000,0.61,50
2022-07-05,Puri,Astaranga,19.7,3.58,0,74000,0.61,56
2022-07-06,Puri,Astaranga,28.7,3.65,0,74000,0.61,52
2022-07-07,Puri,Astaranga,28.1,3.51,0,74000,0.61,50
2022-07-08,Puri,Astaranga,7.9,3.34,0,74000,0.61,50
2022-07-09,Puri,Astaranga,29.9,4.1,0,74000,0.61,93
2022-07-10,Puri,Astaranga,27.5,3.48,0,74000,0.61,58
2022-07-11,Puri,Astaranga,22.6,3.51,0,74000,0.61,50
2022-07-12,Puri,Astaranga,39.0,4.04,0,74000,0.61,87
2022-07-13,Puri,Astaranga,61.0,4.59,0,74000,0.61,138
2022-07-14,Puri,Astaranga,28.6,3.38,0,74000,0.61,65
2022-07-15,Puri,Astaranga,49.8,3.73,0,74000,0.61,111
2022-07-16,Puri,Astaranga,24.5,3.6,0,74000,0.61,62
2022-07-17,Puri,Astaranga,37.4,3.92,0,74000,0.61,75
2022-07-18,Puri,Astaranga,4.6,3.32,0,74000,0.61,50
2022-07-19,Puri,Astaranga,27.3,3.52,0,74000,0.61,50
2022-07-20,Puri,Astaranga,15.4,3.21,0,74000,0.61,50
2022-07-21,Puri,Astaranga,10.7,3.18,0,74000,0.61,50
2022-07-22,Puri,Astaranga,7.9,3.22,0,74000,0.61,50
2022-07-23,Puri,Astaranga,184.7,6.16,7,74000,0.61,765
2022-07-24,Puri,Astaranga,1.3,2.94,0,74000,0.61,50
2022-07-25,Puri,Astaranga,4.7,3.01,0,74000,0.61,50
2022-07-26,Puri,Astaranga,5.4,3.2,0,74000,0.61,50
2022-07-27,Puri,Astaranga,26.3,3.38,0,74000,0.61,51
2022-07-28,Puri,Astaranga,22.9,3.44,0,74000,0.61,51
2022-07-29,Puri,Astaranga,9.6,2.89,0,74000,0.61,50
2022-07-30,Puri,Astaranga,242.2,7.87,8,74000,0.61,1033
2022-07-31,Puri,Astaranga,21.7,2.9,0,74000,0.61,50
2022-08-01,Puri,Astaranga,16.6,3.14,0,74000,0.61,61
2022-08-02,Puri,Astaranga,29.2,3.57,0,74000,0.61,70
2022-08-03,Puri,Astaranga,23.7,3.38,0,74000,0.61,50
2022-08-04,Puri,Astaranga,64.7,4.26,1,74000,0.61,169
2022-08-05,Puri,Astaranga,18.8,3.56,0,74000,0.61,54
2022-08-06,Puri,Astaranga,11.3,2.73,0,74000,0.61,50
2022-08-07,Puri,Astaranga,55.4,4.2,0,74000,0.61,120
2022-08-08,Puri,Astaranga,10.3,2.85,0,74000,0.61,51
2022-08-09,Puri,Astaranga,5.8,3.26,0,74000,0.61,53
2022-08-10,Puri,Astaranga,12.0,3.48,0,74000,0.61,50
2022-08-11,Puri,Astaranga,30.7,3.28,0,74000,0.61,56
2022-08-12,Puri,Astaranga,22.9,2.94,0,74000,0.61,54
2022-08-13,Puri,Astaranga,52.1,4.47,0,74000,0.61,126
2022-08-14,Puri,Astaranga,2.9,3.06,0,74000,0.61,54
2022-08-15,Puri,Astaranga,34.4,3.55,0,74000,0.61,50
2022-08-16,Puri,Astaranga,98.2,4.58,1,74000,0.61,244
2022-08-17,Puri,Astaranga,15.4,3.29,0,74000,0.61,58
2022-08-18,Puri,Astaranga,5.8,3.47,0,74000,0.61,50
2022-08-19,Puri,Astaranga,53.7,3.98,0,74000,0.61,86
2022-08-20,Puri,Astaranga,244.2,7.63,13,74000,0.61,1275
2022-08-21,Puri,Astaranga,63.7,4.05,0,74000,0.61,106
2022-08-22,Puri,Astaranga,12.1,3.18,0,74000,0.61,57
2022-08-23,Puri,Astaranga,36.1,3.36,0,74000,0.61,74
2022-08-24,Puri,Astaranga,2.8,3.34,0,74000,0.61,50
2022-08-25,Puri,Astaranga,16.4,3.47,0,74000,0.61,50
2022-08-26,Puri,Astaranga,27.7,3.05,0,74000,0.61,64
2022-08-27,Puri,Astaranga,51.4,3.69,0,74000,0.61,73
2022-08-28,Puri,Astaranga,5.8,2.73,0,74000,0.61,50
2022-08-29,Puri,Astaranga,38.4,3.39,0,74000,0.61,87
2022-08-30,Puri,Astaranga,33.8,3.69,0,74000,0.61,50
2022-08-31,Puri,Astaranga,31.4,4.14,0,74000,0.61,85
2022-09-01,Puri,Astaranga,22.6,3.02,0,74000,0.61,55
2022-09-02,Puri,Astaranga,8.3,2.91,0,74000,0.61,50
2022-09-03,Puri,Astaranga,28.0,2.96,0,74000,0.61,50
2022-09-04,Puri,Astaranga,27.5,3.08,0,74000,0.61,56
2022-09-05,Puri,Astaranga,17.3,2.95,0,74000,0.61,50
2022-09-06,Puri,Astaranga,51.7,3.7,0,74000,0.61,96
2022-09-07,Puri,Astaranga,18.5,2.7,0,74000,0.61,50
2022-09-08,Puri,Astaranga,20.4,3.16,0,74000,0.61,50
2022-09-09,Puri,Astaranga,240.3,6.83,9,74000,0.61,1003
2022-09-10,Puri,Astaranga,33.5,3.21,0,74000,0.61,63
2022-09-11,Puri,Astaranga,11.7,2.69,0,74000,0.61,50
2022-09-12,Puri,Astaranga,34.9,3.31,0,74000,0.61,58
2022-09-13,Puri,Astaranga,17.1,2.75,0,74000,0.61,56
2022-09-14,Puri,Astaranga,20.9,3.16,0,74000,0.61,50
2022-09-15,Puri,Astaranga,51.3,3.44,0,74000,0.61,94
2022-09-16,Puri,Astaranga,131.5,4.69,6,74000,0.61,567
2022-09-17,Puri,Astaranga,119.2,4.55,2,74000,0.61,305
2022-09-18,Puri,Astaranga,17.4,2.81,0,74000,0.61,55
2022-09-19,Puri,Astaranga,78.4,4.07,0,74000,0.61,105
2022-09-20,Puri,Astaranga,32.2,3.38,0,74000,0.61,50
2022-09-21,Puri,Astaranga,4.2,2.74,0,74000,0.61,50
2022-09-22,Puri,Astaranga,20.7,2.97,0,74000,0.61,50
2022-09-23,Puri,Astaranga,88.7,4.08,2,74000,0.61,238
2022-09-24,Puri,Astaranga,220.9,6.47,6,74000,0.61,781
2022-09-25,Puri,Astaranga,28.0,3.17,0,74000,0.61,55
2022-09-26,Puri,Astaranga,18.9,2.71,0,74000,0.61,50
2022-09-27,Puri,Astaranga,34.5,3.46,0,74000,0.61,50
2022-09-28,Puri,Astaranga,17.6,2.78,0,74000,0.61,54
2022-09-29,Puri,Astaranga,33.7,3.34,0,74000,0.61,68
2022-09-30,Puri,Astaranga,8.9,2.83,0,74000,0.61,50
2022-10-01,Puri,Astaranga,4.5,2.54,0,74000,0.61,50
2022-10-02,Puri,Astaranga,0.5,2.51,0,74000,0.61,50
2022-10-03,Puri,Astaranga,6.8,2.64,0,74000,0.61,55
2022-10-04,Puri,Astaranga,11.9,3.04,0,74000,0.61,55
2022-10-05,Puri,Astaranga,1.7,2.54,0,74000,0.61,50
2022-10-06,Puri,Astaranga,1.6,2.82,0,74000,0.61,50
2022-10-07,Puri,Astaranga,1.9,2.2,0,74000,0.61,50
2022-10-08,Puri,Astaranga,3.1,2.79,0,74000,0.61,50
2022-10-09,Puri,Astaranga,4.9,2.36,0,74000,0.61,50
2022-10-10,Puri,Astaranga,7.0,2.88,0,74000,0.61,50
2022-10-11,Puri,Astaranga,5.6,2.7,0,74000,0.61,61
2022-10-12,Puri,Astaranga,1.9,2.6,0,74000,0.61,50
2022-10-13,Puri,Astaranga,2.6,2.62,0,74000,0.61,50
2022-10-14,Puri,Astaranga,3.5,2.9,0,74000,0.61,50
2022-10-15,Puri,Astaranga,1.0,2.43,0,74000,0.61,50
2022-10-16,Puri,Astaranga,2.9,2.46,0,74000,0.61,50
2022-10-17,Puri,Astaranga,146.2,5.16,4,74000,0.61,486
2022-10-18,Puri,Astaranga,0.7,2.93,0,74000,0.61,50
2022-10-19,Puri,Astaranga,5.5,2.55,0,74000,0.61,50
2022-10-20,Puri,Astaranga,1.2,2.59,0,74000,0.61,50
2022-10-21,Puri,Astaranga,0.9,2.6,0,74000,0.61,50
2022-10-22,Puri,Astaranga,5.1,2.59,0,74000,0.61,50
2022-10-23,Puri,Astaranga,0.5,2.54,0,74000,0.61,50
2022-10-24,Puri,Astaranga,3.3,2.63,0,74000,0.61,50
2022-10-25,Puri,Astaranga,1.2,2.62,0,74000,0.61,50
2022-10-26,Puri,Astaranga,0.4,2.61,0,74000,0.61,50
2022-10-27,Puri,Astaranga,1.1,2.48,0,74000,0.61,50
2022-10-28,Puri,Astaranga,5.6,2.29,0,74000,0.61,50
2022-10-29,Puri,Astaranga,3.0,2.61,0,74000,0.61,50
2022-10-30,Puri,Astaranga,0.9,2.52,0,74000,0.61,50
2022-10-31,Puri,Astaranga,0.9,2.29,0,74000,0.61,50
2022-11-01,Puri,Astaranga,1.6,2.81,0,74000,0.61,50
2022-11-02,Puri,Astaranga,1.6,2.63,0,74000,0.61,50
2022-11-03,Puri,Astaranga,6.3,2.69,0,74000,0.61,50
2022-11-04,Puri,Astaranga,2.0,2.39,0,74000,0.61,50
2022-11-05,Puri,Astaranga,7.8,2.94,0,74000,0.61,50
2022-11-06,Puri,Astaranga,3.2,2.69,0,74000,0.61,50
2022-11-07,Puri,Astaranga,2.8,2.92,0,74000,0.61,50
2022-11-08,Puri,Astaranga,2.5,2.49,0,74000,0.61,50
2022-11-09,Puri,Astaranga,1.6,2.54,0,74000,0.61,50
2022-11-10,Puri,Astaranga,2.0,2.96,0,74000,0.61,50
2022-11-11,Puri,Astaranga,10.6,2.63,0,74000,0.61,50
2022-11-12,Puri,Astaranga,23.1,2.91,0,74000,0.61,50
2022-11-13,Puri,Astaranga,5.3,2.54,0,74000,0.61,50
2022-11-14,Puri,Astaranga,7.4,2.75,0,74000,0.61,50
2022-11-15,Puri,Astaranga,1.4,2.46,0,74000,0.61,50
2022-11-16,Puri,Astaranga,5.3,2.68,0,74000,0.61,50
2022-11-17,Puri,Astaranga,1.1,2.68,0,74000,0.61,50
2022-11-18,Puri,Astaranga,10.9,2.94,0,74000,0.61,50
2022-11-19,Puri,Astaranga,5.6,2.51,0,74000,0.61,52
2022-11-20,Puri,Astaranga,0.6,2.54,0,74000,0.61,50
2022-11-21,Puri,Astaranga,2.1,2.25,0,74000,0.61,50
2022-11-22,Puri,Astaranga,4.3,2.84,0,74000,0.61,50
2022-11-23,Puri,Astaranga,0.1,2.7,0,74000,0.61,50
2022-11-24,Puri,Astaranga,5.5,2.88,0,74000,0.61,51
2022-11-25,Puri,Astaranga,4.1,2.96,0,74000,0.61,50
2022-11-26,Puri,Astaranga,5.1,2.79,0,74000,0.61,50
2022-11-27,Puri,Astaranga,9.4,3.02,0,74000,0.61,50
2022-11-28,Puri,Astaranga,3.0,2.52,0,74000,0.61,50
2022-11-29,Puri,Astaranga,11.2,2.57,0,74000,0.61,52
2022-11-30,Puri,Astaranga,3.8,2.57,0,74000,0.61,50
2022-12-01,Puri,Astaranga,0.6,2.51,0,74000,0.61,50
2022-12-02,Puri,Astaranga,5.4,2.59,0,74000,0.61,50
2022-12-03,Puri,Astaranga,0.2,2.53,0,74000,0.61,50
2022-12-04,Puri,Astaranga,0.3,2.3,0,74000,0.61,50
2022-12-05,Puri,Astaranga,104.1,4.55,2,74000,0.61,275
2022-12-06,Puri,Astaranga,1.7,2.58,0,74000,0.61,50
2022-12-07,Puri,Astaranga,1.8,2.4,0,74000,0.61,50
2022-12-08,Puri,Astaranga,3.4,2.88,0,74000,0.61,50
2022-12-09,Puri,Astaranga,3.3,2.68,0,74000,0.61,50
2022-12-10,Puri,Astaranga,0.8,2.71,0,74000,0.61,50
2022-12-11,Puri,Astaranga,1.5,2.81,0,74000,0.61,50
2022-12-12,Puri,Astaranga,2.0,2.83,0,74000,0.61,50
2022-12-13,Puri,Astaranga,4.5,2.96,0,74000,0.61,50
2022-12-14,Puri,Astaranga,1.4,2.41,0,74000,0.61,50
2022-12-15,Puri,Astaranga,5.8,2.57,0,74000,0.61,50
2022-12-16,Puri,Astaranga,0.5,2.27,0,74000,0.61,50
2022-12-17,Puri,Astaranga,0.2,2.72,0,74000,0.61,50
2022-12-18,Puri,Astaranga,13.4,2.69,0,74000,0.61,50
2022-12-19,Puri,Astaranga,5.7,2.47,0,74000,0.61,50
2022-12-20,Puri,Astaranga,5.9,2.68,0,74000,0.61,50
2022-12-21,Puri,Astaranga,0.1,2.59,0,74000,0.61,50
2022-12-22,Puri,Astaranga,0.9,2.63,0,74000,0.61,50
2022-12-23,Puri,Astaranga,1.0,2.92,0,74000,0.61,50
2022-12-24,Puri,Astaranga,1.5,2.4,0,74000,0.61,50
2022-12-25,Puri,Astaranga,2.0,2.49,0,74000,0.61,50
2022-12-26,Puri,Astaranga,11.0,2.88,0,74000,0.61,50
2022-12-27,Puri,Astaranga,5.9,2.7,0,74000,0.61,50
2022-12-28,Puri,Astaranga,4.1,2.4,0,74000,0.61,50
2022-12-29,Puri,Astaranga,14.2,2.46,0,74000,0.61,50
2022-12-30,Puri,Astaranga,5.1,2.9,0,74000,0.61,50
2022-12-31,Puri,Astaranga,2.5,2.45,0,74000,0.61,50
2023-01-01,Puri,Astaranga,0.8,2.29,0,74000,0.61,50
2023-01-02,Puri,Astaranga,0.4,2.65,0,74000,0.61,50
2023-01-03,Puri,Astaranga,7.2,2.38,0,74000,0.61,50
2023-01-04,Puri,Astaranga,4.6,2.43,0,74000,0.61,50
2023-01-05,Puri,Astaranga,2.2,2.43,0,74000,0.61,50
2023-01-06,Puri,Astaranga,1.0,2.56,0,74000,0.61,50
2023-01-07,Puri,Astaranga,1.7,2.55,0,74000,0.61,50
2023-01-08,Puri,Astaranga,0.4,2.69,0,74000,0.61,50
2023-01-09,Puri,Astaranga,4.1,2.89,0,74000,0.61,50
2023-01-10,Puri,Astaranga,2.1,2.62,0,74000,0.61,50
2023-01-11,Puri,Astaranga,2.1,2.47,0,74000,0.61,52
2023-01-12,Puri,Astaranga,2.2,2.65,0,74000,0.61,50
2023-01-13,Puri,Astaranga,5.7,2.55,0,74000,0.61,50
2023-01-14,Puri,Astaranga,0.9,2.73,0,74000,0.61,50
2023-01-15,Puri,Astaranga,3.1,2.43,0,74000,0.61,50
2023-01-16,Puri,Astaranga,5.2,2.51,0,74000,0.61,50
2023-01-17,Puri,Astaranga,2.5,2.46,0,74000,0.61,50
2023-01-18,Puri,Astaranga,4.2,2.89,0,74000,0.61,50
2023-01-19,Puri,Astaranga,1.0,2.54,0,74000,0.61,50
2023-01-20,Puri,Astaranga,7.1,2.28,0,74000,0.61,56
